id,address,city,state,zip_code,region,auction_price,estimated_arv,estimated_repairs,bedrooms,bathrooms,sqft,lot_size,year_built,property_type,auction_date,auction_platform,description,neighborhood_score,profit_potential,profit_margin,total_investment,max_bid_price,deal_score,recommended,foreclosing_entity,total_debt,loan_type,default_date,foreclosure_stage,property_url,bank_contact_url,image_url,notes,occupancy_status,condition_category,annual_property_tax,hoa_monthly,estimated_monthly_rent,last_sale_price,last_sale_date,latitude,longitude,mortgage_balance,mortgage_lender,mortgage_date,mortgage_interest_rate,mortgage_term,second_mortgage_balance,second_mortgage_lender,county,data_source,valuation_source,auction_date_is_past
AUCT-0001,16125 HAWKS LAIR RD,LA PINE,Oregon,97739,,150000.0,388800.0,0.0,4,2.0,1620,1.0,2022,Single Family,2026-02-15,Auction.com Bank-Owned,"Auction.com bank owned in LA PINE, Oregon. Real auction listing data via Apify. Auction date: 2026-02-15.",6,179868.0,46.26234567901235,177828.0,247665.6,85.0,True,Listed on Auction.com,,,,Auction Scheduled,https://www.auction.com/details/16125-hawks-lair-rd-la-pine-or-1981454,,"https://adc-tenbox-prod.imgix.net/resi/propertyImages/1164331/1164331_ExtF_1.v1.jpeg?auto=compress,format",,VACANT,,2216.16,,2312.0,367600.0,,,,,,,,,,,DESCHUTES,auctioncom,zillow,False
AUCT-0002,61015 MINARET CIRCLE,BEND,Oregon,97702,Central Oregon,864801.5,1390600.0,0.0,3,3.5,3741,0.61,1981,Single Family,2026-02-26,Auction.com Foreclosure,"Auction.com foreclosure in BEND, Oregon. Real auction listing data via Apify. Auction date: 2026-02-26.",8,305170.45499999996,21.94523622896591,974181.545,885812.2,58.43154528620739,False,Listed on Auction.com,,,,Auction Scheduled,https://www.auction.com/details/61015-minaret-cir-bend-or-1880197,,"https://adc-tenbox-prod.imgix.net/resi/propertyImages/1318486/4487680ord00798163_1-edited.v1.jpeg?auto=compress,format",,OCCUPIED,,7926.42,,6344.0,249000.0,,,,,,,,,,,DESCHUTES,auctioncom,zillow,False
AUCT-0003,718 SW WESTHOLM AVE,GRANTS PASS,Oregon,97526,Southern Oregon,151460.0,307500.0,0.0,4,1.0,1380,0.2,1966,Single Family,2026-03-05,Auction.com Foreclosure,"Auction.com foreclosure in GRANTS PASS, Oregon. Real auction listing data via Apify. Auction date: 2026-03-05.",6,108446.20000000001,35.26705691056911,174453.8,195877.5,62.81676422764228,True,Listed on Auction.com,,,,Auction Scheduled,https://www.auction.com/details/718-sw-westholm-ave-grants-pass-or-1956139,,"https://adc-tenbox-prod.imgix.net/resi/propertyImages/1322145/4403136ord00789371_1.v1.jpeg?auto=compress,format",,OCCUPIED,,1691.25,,1946.0,190000.0,,,,,,,,,,,JOSEPHINE,auctioncom,zillow,False
AUCT-0004,255 CHARLOTTE ANN RD,MEDFORD,Oregon,97501,Southern Oregon,175000.0,298700.0,0.0,2,1.0,834,0.43,1943,Single Family,2026-03-19,Auction.com Foreclosure,"Auction.com foreclosure in MEDFORD, Oregon. Real auction listing data via Apify. Auction date: 2026-03-19.",6,76632.0,25.655172413793103,198172.0,190271.9,50.06896551724138,False,Listed on Auction.com,,,,Auction Scheduled,https://www.auction.com/details/255-charlotte-ann-rd-medford-or-1980300,,"https://adc-tenbox-prod.imgix.net/resi/propertyImages/1011523/ORD00670581_53406296.v1.jpeg?auto=compress,format",,OCCUPIED,,2240.25,,1596.0,224900.0,,,,,,,,,,,JACKSON,auctioncom,zillow,False
AUCT-0005,1211 TRIANGLE DR,CENTRAL POINT,Oregon,97502,,150000.0,356621.0,0.0,3,1.5,1140,0.23,1971,Single Family,2026-03-19,Auction.com Foreclosure,"Auction.com foreclosure in CENTRAL POINT, Oregon. Real auction listing data via Apify. Auction date: 2026-03-19.",8,152194.06,42.676695988177926,175897.26,227167.58,79.0,True,Listed on Auction.com,,,,Auction Scheduled,https://www.auction.com/details/1211-triangle-dr-central-point-or-1982741,,"https://adc-tenbox-prod.imgix.net/resi/propertyImages/1041229/4459730ord00796448_1.v1.jpeg?auto=compress,format",,OCCUPIED,,,,,,,,,,,,,,,,JACKSON,auctioncom,,False
